"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
3109,"zen and calm",3631,"Anne",NA,"Observatoire",48.83349,2.31852,"Entire home/apt",60,3,8,"1545148800",0.26,1,227
5396,"Explore the heart of old Paris",7903,"Borzou",NA,"Hôtel-de-Ville",48.851,2.35869,"Entire home/apt",115,1,180,"1561046400",1.47,1,27
7397,"MARAIS - 2ROOMS APT - 2/4 PEOPLE",2626,"Franck",NA,"Hôtel-de-Ville",48.85758,2.35275,"Entire home/apt",115,10,248,"1561392000",2.47,1,240
7964,"Large & sunny flat with balcony !",22155,"Anaïs",NA,"Opéra",48.87464,2.34341,"Entire home/apt",130,6,6,"1442160000",0.05,1,302
8522,"GREAT FLAT w/ CITY VIEW",25435,"Adrien",NA,"Ménilmontant",48.86528,2.39326,"Entire home/apt",90,3,1,"1276617600",0.01,1,186
9359,"Cozy, Central Paris: WALK or VELIB EVERYWHERE !",28422,"Bernadette",NA,"Louvre",48.85899,2.34735,"Entire home/apt",75,180,0,"",NA,1,99
9952,"Paris petit coin douillet",33534,"Elisabeth",NA,"Popincourt",48.86227,2.37134,"Entire home/apt",75,5,20,"1562256000",0.26,1,289
10586,"BAIL MOBILITE     Montmartre Studio 7",37107,"Michael",NA,"Buttes-Montmartre",48.88902,2.34656,"Entire home/apt",80,30,43,"1561824000",0.37,3,209
10588,"Montmartre Studio 10",37107,"Michael",NA,"Buttes-Montmartre",48.88918,2.3449,"Entire home/apt",75,30,16,"1475251200",0.16,3,0
10710,"Calm  place in a """"bourgeois"""" area !",38170,"Josiane",NA,"Élysée",48.879,2.31608,"Entire home/apt",90,3,40,"1548345600",0.35,1,203
11170,"QUARTIER LATIN APART",40963,"Léna",NA,"Panthéon",48.8467,2.35095,"Entire home/apt",75,2,343,"1562428800",2.88,1,188
11213,"DOWNTOWN PARIS",41322,"Mathieu",NA,"Entrepôt",48.8711,2.37424,"Entire home/apt",157,1,121,"1561478400",2.47,2,342
11265,"Elegant appartment in Montmartre",41718,"Sylvie",NA,"Buttes-Montmartre",48.88434,2.34005,"Entire home/apt",100,7,14,"1561996800",0.37,1,226
11798,"Loft very charming in Paris",44444,"Laurence",NA,"Gobelins",48.82405,2.36828,"Entire home/apt",110,2,80,"1560960000",0.97,1,348
